date,exit,S,K,S_T,iv,prem,pnl,cap
2022-09-29,2022-10-06,16818.1,15977.19,17331.8,0.213,7.23,446.23,986841.63
2022-10-06,2022-10-13,17331.8,16465.21,17014.35,0.193,4.22,253.05,987094.68
2022-10-13,2022-10-20,17014.35,16163.63,17563.95,0.203,5.56,339.67,987434.35
2022-10-20,2022-10-27,17563.95,16685.75,17736.95,0.172,1.98,117.35,987551.71
2022-10-27,2022-11-03,17736.95,16850.1,18052.7,0.166,1.52,88.88,987640.58
2022-11-03,2022-11-10,18052.7,17150.06,18028.2,0.159,1.12,64.52,987705.11
2022-11-10,2022-11-17,18028.2,17126.79,18343.9,0.156,0.92,53.13,987758.24
2022-11-17,2022-11-24,18343.9,17426.71,18484.1,0.149,0.63,35.8,987794.04
2022-11-24,2022-12-01,18484.1,17559.89,18812.5,0.135,0.24,13.7,987807.74
2022-12-01,2022-12-08,18812.5,17871.88,18609.35,0.134,0.23,12.47,987820.2
2022-12-08,2022-12-15,18609.35,17678.88,18414.9,0.134,0.23,12.87,987833.07
2022-12-15,2022-12-22,18414.9,17494.16,18127.35,0.137,0.29,16.56,987849.64
2022-12-22,2022-12-29,18127.35,17220.98,18191.0,0.152,0.75,42.99,987892.63
2022-12-29,2023-01-05,18191.0,17281.45,17992.15,0.148,0.6,34.31,987926.94
2023-01-05,2023-01-12,17992.15,17092.54,17858.2,0.15,0.66,38.03,987964.97
2023-01-12,2023-01-19,17858.2,16965.29,18107.85,0.153,0.78,45.26,988010.23
2023-01-19,2023-01-27,18107.85,17202.46,17604.35,0.14,0.62,35.79,988046.02
2023-02-02,2023-02-09,17610.4,16729.88,17893.45,0.157,0.98,57.89,988103.91
2023-02-09,2023-02-16,17893.45,16998.78,18035.85,0.13,0.17,9.59,988113.5
2023-02-16,2023-02-23,18035.85,17134.06,17511.25,0.129,0.15,8.43,988121.92
2023-02-23,2023-03-02,17511.25,16635.69,17321.9,0.151,0.68,40.35,988162.27
2023-03-02,2023-03-09,17321.9,16455.81,17589.6,0.13,0.15,9.03,988171.3
2023-03-09,2023-03-16,17589.6,16710.12,16985.6,0.127,0.12,7.31,988178.61
2023-03-16,2023-03-23,16985.6,16136.32,17076.9,0.162,1.21,74.24,988252.86
2023-03-23,2023-03-31,17076.9,16223.06,17359.75,0.145,0.82,49.63,988302.49
