entry_date,exit_date,bars_held,entry,sl,r1,r2,exit,qty,exit_reason,gross_pnl,costs,net_pnl,pct_return,capital_after
2025-09-23,2025-09-24,1,25169.5,25099.91,25305.68,25409.01,25099.91,107.9233,SL,-7510.51,2712.62,-10223.13,-0.2765,740827.91
2025-09-30,2025-10-01,1,24611.1,24539.07,24748.73,24862.57,24862.57,102.8493,R2,25863.38,2544.17,23319.22,1.0218,764147.13
2025-10-08,2025-10-09,1,25046.15,25024.38,25194.03,25279.77,25024.38,351.0805,SL,-7641.47,8789.39,-16430.87,-0.0869,747716.26
2025-10-13,2025-10-14,1,25227.35,25159.36,25358.45,25431.55,25159.36,109.9831,SL,-7477.16,2770.84,-10248.01,-0.2695,737468.26
2025-11-06,2025-11-07,1,25509.7,25496.05,25730.57,25863.48,25496.05,540.1223,SL,-7374.68,13774.67,-21149.35,-0.0535,716318.91
2025-11-21,2025-11-24,1,26068.15,26061.93,26271.47,26350.78,26061.93,1151.2437,SL,-7163.19,30007.21,-37170.4,-0.0239,679148.51
2025-11-25,2025-11-26,1,25884.8,25840.97,26097.48,26235.47,26097.48,154.9355,R1,32952.13,4026.95,28925.18,0.8217,708073.69
2025-12-01,2025-12-02,1,26175.75,26130.49,26265.0,26327.05,26130.49,156.4565,SL,-7080.74,4091.83,-11172.56,-0.1729,696901.13
2025-12-03,2025-12-04,1,25986.0,25942.53,26125.25,26218.3,25942.53,160.3209,SL,-6969.01,4162.61,-11131.62,-0.1673,685769.5
2025-12-09,2025-12-10,1,25839.65,25816.46,26128.75,26296.95,25816.46,295.6934,SL,-6857.7,7637.19,-14494.88,-0.0898,671274.62
2025-12-17,2025-12-18,1,25818.55,25776.91,25949.12,26038.13,25776.91,161.2193,SL,-6712.75,4159.09,-10871.84,-0.1613,660402.78
2025-12-24,2025-12-26,1,26142.1,26093.5,26234.12,26291.08,26093.5,135.8796,SL,-6604.03,3548.88,-10152.91,-0.1859,650249.88
2026-01-05,2026-01-06,1,26250.3,26158.45,26406.23,26483.92,26158.45,70.7938,SL,-6502.5,1855.11,-8357.6,-0.3499,641892.27
2026-01-07,2026-01-08,1,26140.75,26084.87,26260.18,26341.67,26084.87,114.8741,SL,-6418.92,2999.68,-9418.61,-0.2138,632473.66
2026-01-14,2026-01-19,2,25665.6,25564.88,25886.97,26041.63,25564.88,62.7936,SL,-6324.74,1608.47,-7933.21,-0.3924,624540.45
2026-01-30,2026-02-02,1,25320.65,25207.85,25531.43,25643.97,25207.85,55.3673,SL,-6245.4,1398.81,-7644.22,-0.4455,616896.24
2026-02-05,2026-02-06,1,25642.8,25594.83,25875.05,25974.1,25594.83,128.595,SL,-6168.96,3294.45,-9463.41,-0.1871,607432.82
