entry_date,exit_date,bars_held,entry,sl,r1,r2,exit,qty,exit_reason,gross_pnl,costs,net_pnl,pct_return,capital_after
2023-09-22,2023-09-25,1,19674.25,19665.6,19824.08,19905.82,19665.6,862.3059,SL,-7461.3,16961.49,-24422.79,-0.044,721707.28
2023-10-13,2023-10-16,1,19751.05,19743.57,19833.98,19873.97,19743.57,964.7485,SL,-7217.07,19051.19,-26268.26,-0.0379,695439.02
2023-10-19,2023-10-20,1,19624.7,19587.44,19788.05,19905.0,19587.44,186.661,SL,-6954.39,3659.69,-10614.08,-0.1898,684824.94
2023-11-09,2023-11-10,1,19395.3,19389.12,19471.43,19499.37,19389.12,1108.8287,SL,-6848.25,21502.64,-28350.89,-0.0318,656474.05
2023-11-20,2023-11-21,1,19694.0,19644.5,19802.72,19873.63,19802.72,132.6277,R1,14418.95,2619.18,11799.77,0.552,668273.82
2023-12-07,2023-12-08,1,20901.15,20851.71,20982.38,21027.07,20982.38,135.1696,R1,10980.07,2830.69,8149.38,0.3886,676423.19
2023-12-29,2024-01-01,1,21731.4,21682.28,21827.43,21876.17,21682.28,137.7047,SL,-6764.23,2989.13,-9753.36,-0.226,666669.83
2024-01-02,2024-01-03,1,21665.8,21648.71,21823.88,21905.87,21648.71,390.146,SL,-6666.7,8449.49,-15116.19,-0.0789,651553.64
2024-01-16,2024-01-17,1,22032.3,21980.15,22154.15,22210.85,21980.15,124.9307,SL,-6515.54,2749.25,-9264.79,-0.2367,642288.85
2024-01-18,2024-01-23,2,21462.25,21442.97,21765.48,21959.02,21442.97,333.1004,SL,-6422.89,7145.87,-13568.76,-0.0898,628720.09
2024-01-25,2024-01-29,1,21352.6,21212.08,21578.47,21702.98,21702.98,44.7433,R2,15677.31,963.22,14714.09,1.6409,643434.17
2024-01-30,2024-01-31,1,21522.1,21502.19,21857.37,21977.13,21502.19,323.2171,SL,-6434.34,6953.09,-13387.44,-0.0925,630046.74
2024-02-05,2024-02-07,2,21771.7,21708.9,22051.88,22249.97,22051.88,100.3327,R1,28111.71,2198.47,25913.24,1.2869,655959.98
2024-03-05,2024-03-06,1,22356.3,22339.94,22444.9,22484.2,22339.94,400.8812,SL,-6559.6,8958.94,-15518.54,-0.0732,640441.44
2024-03-15,2024-03-18,1,22023.35,21952.59,22261.67,22376.68,21952.59,90.5127,SL,-6404.41,1990.19,-8394.6,-0.3213,632046.84
2024-03-26,2024-03-28,2,22004.7,21904.54,22223.87,22350.98,22350.98,63.1048,R2,21852.1,1399.53,20452.57,1.5737,652499.41
2024-04-26,2024-04-30,2,22419.95,22352.71,22695.78,22821.22,22695.78,97.039,R1,26766.58,2188.99,24577.59,1.2303,677077.0
2024-05-27,2024-05-28,1,22932.45,22878.37,23019.67,23082.23,22878.37,125.1894,SL,-6770.77,2867.51,-9638.28,-0.2358,667438.71
2024-06-19,2024-06-20,1,23516.0,23488.54,23591.4,23624.9,23488.54,243.0358,SL,-6674.39,5711.89,-12386.28,-0.1168,655052.43
2024-06-21,2024-06-24,1,23501.1,23441.6,23646.47,23725.93,23441.6,110.096,SL,-6550.52,2584.1,-9134.63,-0.2532,645917.81
2024-07-22,2024-07-23,1,24509.25,24383.36,24754.42,24977.93,24383.36,51.3078,SL,-6459.18,1254.29,-7713.46,-0.5136,638204.34
2024-09-05,2024-09-06,1,25145.1,25091.22,25248.53,25298.37,25091.22,118.4435,SL,-6382.04,2975.08,-9357.13,-0.2143,628847.22
2024-09-11,2024-09-12,1,24918.45,24890.19,25148.8,25256.5,25256.5,222.4901,R2,75212.79,5581.71,69631.08,1.3566,698478.3
2024-09-18,2024-09-19,1,25377.55,25341.28,25456.05,25493.55,25493.55,192.5931,R2,22340.8,4898.71,17442.09,0.4571,715920.39
2024-10-11,2024-10-14,1,24964.25,24915.61,25095.2,25191.95,25095.2,147.1843,R1,19273.77,3683.98,15589.79,0.5245,731510.18
2024-10-15,2024-10-16,1,25057.35,25018.67,25185.97,25243.98,25018.67,189.1322,SL,-7315.1,4735.5,-12050.6,-0.1544,719459.58
2024-10-24,2024-10-25,1,24399.4,24316.64,24567.13,24698.77,24316.64,86.935,SL,-7194.6,2117.57,-9312.16,-0.3392,710147.42
2024-11-08,2024-11-11,1,24148.2,24060.4,24408.78,24618.22,24060.4,80.8824,SL,-7101.47,1949.61,-9051.09,-0.3636,701096.33
2024-12-09,2024-12-10,1,24619.0,24590.57,24745.73,24813.67,24590.57,246.5906,SL,-7010.96,6067.31,-13078.27,-0.1155,688018.06
2024-12-18,2024-12-19,1,24198.85,24194.05,24538.92,24741.83,24194.05,1432.8934,SL,-6880.18,34670.93,-41551.11,-0.0198,646466.94
2025-05-06,2025-05-07,1,24379.6,24374.67,24524.82,24588.48,24374.67,1310.8615,SL,-6464.67,31955.05,-38419.71,-0.0202,608047.23
2025-05-08,2025-05-09,1,24273.8,24248.79,24502.67,24590.93,24248.79,243.1528,SL,-6080.47,5899.2,-11979.68,-0.103,596067.55
2025-05-13,2025-05-15,2,24578.35,24529.54,25120.05,25315.4,24529.54,122.1331,SL,-5960.68,2998.85,-8959.53,-0.1986,587108.03
2025-05-19,2025-05-20,1,24945.45,24933.61,25075.52,25131.23,24933.61,495.865,SL,-5871.08,12366.64,-18237.72,-0.0475,568870.31
2025-05-30,2025-06-02,1,24750.7,24685.02,24925.03,25016.47,24685.02,86.6187,SL,-5688.7,2141.03,-7829.73,-0.2653,561040.58
2025-06-18,2025-06-19,1,24812.05,24759.27,24952.4,25051.4,24759.27,106.2872,SL,-5610.41,2634.4,-8244.8,-0.2127,552795.77
2025-06-23,2025-06-24,1,24971.9,24860.42,25237.85,25363.3,25237.85,49.5848,R1,13187.04,1244.82,11942.22,1.065,564737.99
2025-07-09,2025-07-10,1,25476.1,25422.97,25572.32,25622.13,25422.97,106.2909,SL,-5647.38,2705.05,-8352.43,-0.2086,556385.56
